id,url,yt_duration_sec
1,https://www.youtube.com/watch?v=O669aZhH0LI,6176.00
2,https://www.youtube.com/watch?v=-aOI9_JxoWc,3817.00
3,https://www.youtube.com/watch?v=eugfCRwSBJo,4316.00
4,https://www.youtube.com/watch?v=y6QbtrTV-K0,4139.00
5,https://www.youtube.com/watch?v=xhUi2KpmVkI,5151.00
6,https://www.youtube.com/watch?v=SYyvDrUgClc,6052.00
7,https://www.youtube.com/watch?v=Y0tCJ6DWXKM,4093.00
8,https://www.youtube.com/watch?v=32j2Tg64Zbg,3437.00
9,https://www.youtube.com/watch?v=8E98Gpk-fOM,2950.00
10,https://www.youtube.com/watch?v=li1sbr6S34g,3440.00
11,https://www.youtube.com/watch?v=yD6WKVqsAKc,5223.00
12,https://www.youtube.com/watch?v=maLGQ7fjCt4,2489.00
13,https://www.youtube.com/watch?v=boQC4J4E1ZQ,4550.00
14,https://www.youtube.com/watch?v=5W6txLGZ1Rs,4838.00
15,https://www.youtube.com/watch?v=yu9oyMXRGHY,5980.00
16,https://www.youtube.com/watch?v=5kS_a7vS5xI,3682.00
17,https://www.youtube.com/watch?v=G9r400zkkz8,4429.00
18,https://www.youtube.com/watch?v=8lHAsyRhYYQ,3012.00
19,https://www.youtube.com/watch?v=YmW83aQFADg,4835.00
20,https://www.youtube.com/watch?v=4e3JJ4rvT3Q,3266.00
21,https://www.youtube.com/watch?v=gloiZ_gTJaE,3345.00
22,https://www.youtube.com/watch?v=8u_UHCnYSkk,3363.00
23,https://www.youtube.com/watch?v=rSK9Qx8LapE,3235.00
24,https://www.youtube.com/watch?v=NlDrJyQUTSI,4495.00
25,https://www.youtube.com/watch?v=FZPrpoGdyHI,3150.00
26,https://www.youtube.com/watch?v=RRI_k2KZgOM,3035.00
27,https://www.youtube.com/watch?v=HTBf9wFL0mk,4675.00
28,https://www.youtube.com/watch?v=IuXmsimDOW8,3820.00
29,https://www.youtube.com/watch?v=TXT-qlniM90,3250.00
30,https://www.youtube.com/watch?v=YP8YlZkrQq8,5475.00
31,https://www.youtube.com/watch?v=gJ_KHu0EC6I,2640.00
32,https://www.youtube.com/watch?v=ROAnTfC_8zA,5235.00
33,https://www.youtube.com/watch?v=OzRtd3D0hEo,3315.00
34,https://www.youtube.com/watch?v=o51ingUOU20,2905.00
35,https://www.youtube.com/watch?v=XmJ-OdVFQtk,3755.00
36,https://www.youtube.com/watch?v=D27aAZvuRTw,3335.00
37,https://www.youtube.com/watch?v=4rQUHv9oGpI,3480.00
38,https://www.youtube.com/watch?v=OH6dnTXhZy4,3965.00
39,https://www.youtube.com/watch?v=XYY6YXv6Nss,3630.00
40,https://www.youtube.com/watch?v=IDSr0z5f52k,2630.00
41,https://www.youtube.com/watch?v=yr2JQTdzNjY,4465.00
42,https://www.youtube.com/watch?v=Mawo3l3Hb9E,3305.00
43,https://www.youtube.com/watch?v=vfzkc3lFTdM,3265.00
44,https://www.youtube.com/watch?v=j7_cjmJDYNU,4815.00
